pair,price,source,volume
XRP/ETH,$721.18,OKEx,"$4,236,740"
NEO/ETH,$723.15,Binance,"$4,186,330"
EOS/ETH,$740.45,OTCBTC,"$3,975,850"
ETH/USDT,$719.67,B2BX,"$3,967,170"
CMT/ETH,$724.42,Binance,"$3,949,600"
FSN/ETH,$748.90,Bibox,"$3,949,250"
BTM/ETH,$723.97,Huobi,"$3,938,560"
CTXC/ETH,$731.27,OKEx,"$3,841,990"
TRX/ETH,$721.02,Liqui,"$3,829,190"
BNB/ETH,$724.52,Binance,"$3,764,960"
ELA/ETH,$718.60,Huobi,"$3,763,200"
ZCO/ETH,$734.01,Qryptos,"$3,614,010"
ZRX/ETH,$717.61,Binance,"$3,565,500"
UUU/ETH,$716.37,Bibox,"$3,505,600"
ETH/BTC,$720.03,Gemini,"$3,503,800"
ETH/TRY,$693.14,Sistemkoin,"$3,487,640"
ETH/BTC,$720.91,CoinBene,"$3,367,680"
ABT/ETH,$714.80,CoinBene,"$3,332,150"
ETH/USD,$707.01,Exmo,"$3,322,190"
ETH/USD,$677.48,Exrates,"$3,211,160"
ETH/BTC,$719.58,Hotbit,"$3,204,820"
XLM/ETH,$730.68,Binance,"$3,139,090"
ETH/BTC,$722.62,Bitstamp,"$3,128,310"
ETH/BTC,$720.68,WEX,"$3,121,730"
ETH/BTC,$722.49,Coinsuper,"$3,069,350"
ETH/BTC,$720.99,Exmo,"$2,988,210"
EOSDAC/ETH,$711.03,Bibox,"$2,920,670"
HOT/ETH,$728.46,IDEX,"$2,895,150"
EOS/ETH,$726.27,Kraken,"$2,813,740"
BTC/ETH,$726.50,OTCBTC,"$2,808,280"
ETH/USDT,$723.00,Bibox,"$2,793,670"
ETH/BITCNY,$719.05,CoinTiger,"$2,780,850"
RUFF/ETH,$720.20,Huobi,"$2,758,210"
AE/ETH,$723.76,Binance,"$2,690,700"
BTO/ETH,$722.43,Bibox,"$2,685,940"
ADA/ETH,$725.17,Huobi,"$2,668,980"
CMT/ETH,$729.59,Lbank,"$2,658,490"
SWFTC/ETH,$721.78,Huobi,"$2,588,520"
ETH/BTC,$723.31,ZB.COM,"$2,548,660"
EKO/ETH,$730.47,Huobi,"$2,527,850"
ETH/USDT,$724.08,Lbank,"$2,504,280"
LYM/ETH,$729.64,Kucoin,"$2,442,400"
LTC/ETH,$723.49,Binance,"$2,425,140"
ETH/CAD,$721.54,QuadrigaCX,"$2,390,470"
POA/ETH,$729.54,Binance,"$2,373,060"
PROPY/ETH,$722.41,Huobi,"$2,365,960"
ETH/BTC,$720.95,Upbit,"$2,364,190"
ETH/USDT,$722.57,BitForex,"$2,364,000"
NANO/ETH,$722.98,Binance,"$2,358,740"
NCASH/ETH,$722.73,Binance,"$2,332,360"
SUB/ETH,$723.31,Binance,"$2,323,390"
ETH/USD,$688.57,Octaex,"$2,306,910"
ETH/TRY,$688.36,BTCTurk,"$2,300,520"
YOYO/ETH,$721.07,Binance,"$2,277,690"
LRN/ETH,$715.20,Gate.io,"$2,270,050"
HPB/ETH,$725.80,Bibox,"$2,199,950"
HSR/ETH,$720.18,Huobi,"$2,192,410"
IOTA/ETH,$724.66,OKEx,"$2,151,610"
GTO/ETH,$717.42,Binance,"$2,131,900"
POA/ETH,$729.52,Bibox,"$2,130,860"
NEXO/ETH,$793.93,IDEX,"$2,129,940"
EOS/ETH,$727.33,CoinTiger,"$2,120,300"
MIOTA/ETH,$722.05,Bitfinex,"$2,100,170"
DRG/ETH,$717.94,Qryptos,"$2,059,070"
BCH/ETH,$719.73,WEX,"$2,058,140"
ETH/BTC,$719.30,Liqui,"$2,024,630"
ETH/AUD,$712.81,BTC Markets,"$2,020,530"
AION/ETH,$724.89,Binance,"$1,984,660"
XMR/ETH,$720.24,Binance,"$1,941,310"
ZCO/ETH,$696.89,IDEX,"$1,930,840"
LSK/ETH,$718.69,Binance,"$1,919,500"
ETH/EUR,$718.21,WEX,"$1,881,480"
ETH/RUR,$679.89,WEX,"$1,871,650"
ETH/USDT,$718.24,DragonEX,"$1,864,310"
ETH/USD,$715.70,CEX.IO,"$1,859,380"
GNT/ETH,$724.04,Huobi,"$1,853,360"
ETH/EUR,$720.11,Bitfinex,"$1,853,320"
