pair,price,source,volume
TNB/BTC,$9137.31,Binance,"$12,212,900"
WICC/BTC,$9089.56,Huobi,"$12,026,100"
SOC/BTC,$9115.28,OKEx,"$11,930,300"
AE/BTC,$9037.15,Binance,"$11,896,100"
IOST/BTC,$9179.78,Binance,"$11,837,700"
ONT/BTC,$9084.59,OKEx,"$11,604,500"
WAVES/BTC,$9018.94,Binance,"$11,552,700"
IOTA/BTC,$8804.44,OKEx,"$11,482,800"
XMR/BTC,$9064.25,Binance,"$11,472,400"
MANA/BTC,$9029.11,Binance,"$11,401,000"
BTC/USD,$9193.30,Livecoin,"$11,248,400"
LSK/BTC,$9046.41,Binance,"$11,174,400"
GVT/BTC,$9066.14,Binance,"$11,046,700"
NEBL/BTC,$9068.05,Binance,"$11,032,600"
BTC/USDT,$9072.34,Lbank,"$11,013,200"
BTC/EUR,$9106.63,GDAX,"$11,011,200"
ARN/BTC,$9065.73,Binance,"$10,870,900"
BCC/BTC,$9073.54,Bittrex,"$10,651,400"
LTC/BTC,$9075.15,EXX,"$10,342,700"
LINK/BTC,$9072.05,Binance,"$10,246,400"
LEND/BTC,$9016.83,Binance,"$9,948,510"
SUB/BTC,$9079.34,Binance,"$9,924,500"
QTUM/BTC,$9145.07,OKEx,"$9,920,290"
SRN/BTC,$9080.42,Upbit,"$9,890,710"
TRX/BTC,$9042.66,Huobi,"$9,761,330"
ETC/BTC,$9088.37,Binance,"$9,653,560"
EDO/BTC,$9045.79,Binance,"$9,587,320"
EOS/BTC,$9059.33,CoinTiger,"$9,532,710"
NULS/BTC,$9075.13,Binance,"$9,442,930"
QLC/BTC,$9061.79,Binance,"$9,441,420"
PNT/BTC,$8996.42,Bit-Z,"$9,397,220"
BTC/KRW,$9254.87,Coinone,"$9,350,170"
OMG/BTC,$9044.04,Binance,"$9,234,210"
BTC/GBP,$9070.33,CoinsBank,"$9,141,730"
ETH/BTC,$9041.36,TOPBTC,"$9,105,430"
BTC/USDT,$9089.18,Poloniex,"$9,089,240"
BTM/BTC,$9045.21,OKEx,"$8,931,340"
BTC/EUR,$9089.52,Bitstamp,"$8,816,370"
ETC/BTC,$9090.31,Bit-Z,"$8,796,240"
BQX/BTC,$9078.50,Binance,"$8,773,170"
TRUE/BTC,$9023.83,OEX,"$8,744,120"
BTC/PLN,$9030.96,BitBay,"$8,503,800"
BCH/BTC,$10518.50,Trade By Trade,"$8,470,280"
EOS/BTC,$9065.67,HitBTC,"$8,425,430"
BTC/EUR,$9090.30,Bitfinex,"$8,329,970"
BCH/BTC,$9061.42,Huobi,"$8,325,220"
SNT/BTC,$9127.85,Binance,"$8,156,720"
BTC/USD,$9587.21,LakeBTC,"$8,093,950"
XRP/BTC,$9051.51,Bitfinex,"$7,953,700"
TRX/BTC,$9052.79,Upbit,"$7,828,210"
ETH/BTC,$8707.66,Allcoin,"$7,816,090"
BAT/BTC,$9002.15,Binance,"$7,670,520"
ETH/BTC,$9063.52,GDAX,"$7,645,720"
BCN/BTC,$9171.79,HitBTC,"$7,542,380"
XRP/BTC,$9031.03,Bittrex,"$7,461,540"
XRP/BTC,$9066.19,Poloniex,"$7,424,700"
ZEC/BTC,$8998.83,Lbank,"$7,423,000"
ETH/BTC,$9087.50,Bittrex,"$7,399,500"
NEO/BTC,$9085.53,OKEx,"$7,377,030"
CMT/BTC,$9138.35,Binance,"$7,338,900"
ADA/BTC,$9144.73,Upbit,"$7,280,600"
ACT/BTC,$8919.29,Huobi,"$7,265,370"
BTM/BTC,$9037.62,RightBTC,"$7,255,520"
ENJ/BTC,$9118.16,Binance,"$7,242,080"
TRIG/BTC,$9067.38,Binance,"$7,233,360"
ELA/BTC,$9089.03,Huobi,"$7,209,210"
BTC/USDT,$9063.88,Trade By Trade,"$6,953,960"
ETH/BTC,$9068.52,Bitfinex,"$6,943,490"
IOST/BTC,$9135.51,OKEx,"$6,937,620"
BTC/CKUSD,$9152.67,Allcoin,"$6,814,220"
DTA/BTC,$9091.42,Huobi,"$6,793,740"
AION/BTC,$9073.27,Binance,"$6,755,510"
LSK/BTC,$9044.94,Bit-Z,"$6,716,840"
POWR/BTC,$9069.18,Binance,"$6,708,550"
BOT/BTC,$9204.07,Bibox,"$6,705,650"
BTC/USD,$9147.33,Bitinka,"$6,702,570"
ETH/BTC,$9079.22,Poloniex,"$6,649,050"
ETH/BTC,$9068.52,Livecoin,"$6,623,670"
ACT/BTC,$8876.86,OKEx,"$6,600,230"
MCO/BTC,$9035.32,OKEx,"$6,558,950"
BCC/BTC,$9073.55,Upbit,"$6,555,570"
SWFTC/BTC,$9011.65,Huobi,"$6,461,550"
BTG/BTC,$9070.22,Binance,"$6,440,730"
MEET/BTC,$8985.94,Huobi,"$6,418,840"
XRP/BTC,$9043.21,Huobi,"$6,335,820"
BTC/KRW,$9240.46,Korbit,"$6,323,000"
DGD/BTC,$9086.77,Binance,"$6,203,720"
QTUM/BTC,$9147.45,Binance,"$6,102,020"
DASH/BTC,$9092.31,Huobi,"$6,079,410"
NXT/BTC,$9043.65,Bittrex,"$6,072,710"
GXS/BTC,$9033.29,Bit-Z,"$6,060,900"
INT/BTC,$9021.91,OKEx,"$6,060,020"
ETH/BTC,$9080.50,YoBit,"$6,045,870"
BTC/USD,$9006.00,Exmo,"$6,014,810"
SYS/BTC,$9069.91,Upbit,"$5,999,860"
DASH/BTC,$9079.19,Exrates,"$5,951,430"
PROPY/BTC,$9096.21,Huobi,"$5,917,300"
MTN/BTC,$9151.16,Huobi,"$5,906,460"
PRA/BTC,$9068.05,OKEx,"$5,890,240"
ETH/BTC,$9073.29,Kraken,"$5,866,220"
SALT/BTC,$9072.61,Binance,"$5,829,910"
ELF/BTC,$9139.68,OKEx,"$5,791,580"
BTC/USDT,$8994.40,EXX,"$5,786,930"
IOST/BTC,$9144.18,Huobi,"$5,784,980"
ETH/BTC,$9073.69,Tidex,"$5,735,030"
ZEC/BTC,$9045.58,HitBTC,"$5,704,790"
ADA/BTC,$9120.60,Huobi,"$5,665,330"
ZIL/BTC,$8898.75,Huobi,"$5,664,560"
BCPT/BTC,$9052.23,Binance,"$5,637,350"
VIA/BTC,$9082.01,OOOBTC,"$5,607,030"
BTC/TRY,$8962.20,Paribu,"$5,559,520"
STRAT/BTC,$9092.66,Bittrex,"$5,502,510"
BTC/BRL,$9408.43,Negocie Coins,"$5,492,020"
ZCL/BTC,$9168.13,Bittrex,"$5,448,650"
DLT/BTC,$9095.85,Binance,"$5,426,080"
BCH/BTC,$9052.17,WEX,"$5,383,220"
BTS/BTC,$9079.11,Binance,"$5,380,540"
QTUM/BTC,$9151.28,Bit-Z,"$5,338,130"
BTC/USD,$9156.25,WEX,"$5,304,870"
BTC/CNY,$8927.16,Fatbtc,"$5,280,890"
ABT/BTC,$9295.63,Lbank,"$5,211,150"
BTC/USDT,$9069.82,Gate.io,"$5,188,690"
ETH/BTC,$9087.96,OOOBTC,"$5,176,900"
NXT/BTC,$9043.65,Upbit,"$5,171,330"
BCH/BTC,$9020.44,Exrates,"$5,140,750"
CDT/BTC,$9248.87,Binance,"$5,097,730"
ENG/BTC,$9066.56,Binance,"$5,081,650"
EOS/BTC,$9054.96,Kraken,"$5,051,780"
BTM/BTC,$9077.41,Huobi,"$5,049,950"
BTC/USDT,$9054.84,DragonEX,"$5,040,320"
POE/BTC,$8968.19,Binance,"$5,032,210"
BTM/BTC,$9102.98,CoinEgg,"$5,004,050"
ELF/BTC,$9120.41,Huobi,"$4,985,610"
BTC/RUB,$8317.75,Exmo,"$4,962,720"
LSK/BTC,$9235.88,CoinEgg,"$4,949,690"
NEO/BTC,$9136.75,Lbank,"$4,947,360"
BURST/BTC,$9049.44,Bittrex,"$4,912,710"
TRX/BTC,$9043.66,Liqui,"$4,840,650"
BTC/EUR,$9154.77,Bitinka,"$4,835,230"
BTC/USD,$9080.46,Exrates,"$4,834,480"
YEE/BTC,$9112.50,Huobi,"$4,803,880"
STR/BTC,$9109.04,Poloniex,"$4,765,990"
NULS/BTC,$9054.69,Bit-Z,"$4,734,290"
LOOM/BTC,$9112.27,Kucoin,"$4,661,310"
EOS/BTC,$9025.56,ZB.COM,"$4,639,010"
BTC/USDT,$9088.42,Bibox,"$4,616,920"
EOS/BTC,$9092.32,OTCBTC,"$4,586,320"
IHT/BTC,$9451.68,OEX,"$4,543,180"
POA/BTC,$9072.59,Binance,"$4,516,800"
WPR/BTC,$9078.36,Binance,"$4,422,590"
BCH/BTC,$9063.67,CoinEgg,"$4,419,010"
QTUM/BTC,$9291.47,CoinEgg,"$4,377,530"
SYS/BTC,$9029.31,Bittrex,"$4,353,740"
OCN/BTC,$9072.30,Kucoin,"$4,325,620"
SRN/BTC,$9134.79,Liqui,"$4,316,260"
GTO/BTC,$9149.18,Binance,"$4,264,020"
BCH/BTC,$9029.28,Poloniex,"$4,255,130"
ZIL/BTC,$9185.88,OOOBTC,"$4,251,650"
XEM/BTC,$9070.55,Binance,"$4,193,500"
HSR/BTC,$8932.41,Binance,"$4,166,610"
DASH/BTC,$9074.77,Binance,"$4,154,710"
ZEC/BTC,$9023.58,Bit-Z,"$4,152,320"
ONT/BTC,$8973.09,Huobi,"$4,002,800"
ZEC/BTC,$9040.71,Binance,"$4,001,740"
LSK/BTC,$9031.71,YoBit,"$3,966,620"
BCH/BTC,$9040.71,GDAX,"$3,949,790"
BTC/ARS,$9541.49,Bitinka,"$3,936,130"
LSK/BTC,$9074.19,Bittrex,"$3,911,440"
YEE/BTC,$9026.99,OKEx,"$3,865,760"
SC/BTC,$9138.23,Bittrex,"$3,863,900"
LTC/BTC,$9057.45,CoinTiger,"$3,792,380"
ITC/BTC,$9064.13,Huobi,"$3,789,490"
EKO/BTC,$9135.92,Huobi,"$3,770,540"
XLM/BTC,$9120.49,Bittrex,"$3,761,490"
XRP/BTC,$9168.30,CoinEgg,"$3,759,590"
NKC/BTC,$9091.04,Bit-Z,"$3,738,470"
MANA/BTC,$8996.48,OKEx,"$3,708,040"
BTC/TRY,$8976.98,Sistemkoin,"$3,707,820"
ZRX/BTC,$9067.99,Binance,"$3,693,980"
BTC/USD,$9135.55,Octaex,"$3,682,220"
BURST/BTC,$9023.94,Upbit,"$3,672,640"
CMT/BTC,$9068.10,Lbank,"$3,651,430"
OMG/BTC,$9039.82,OKEx,"$3,615,250"
ARN/BTC,$9072.90,Coinrail,"$3,578,850"
LTC/BTC,$9158.45,TOPBTC,"$3,513,870"
GNT/BTC,$9022.01,Binance,"$3,506,000"
ACT/BTC,$8768.40,CoinEgg,"$3,493,810"
XLM/BTC,$9112.86,OKEx,"$3,486,140"
XRB/BTC,$9079.05,Bit-Z,"$3,472,130"
DASH/BTC,$9080.97,YoBit,"$3,471,680"
REQ/BTC,$9058.56,Binance,"$3,464,680"
TNB/BTC,$9150.75,Huobi,"$3,453,150"
CAN/BTC,$9062.47,OKEx,"$3,447,840"
FUN/BTC,$9090.64,Binance,"$3,446,290"
BTC/BITCNY,$8777.71,CoinTiger,"$3,439,280"
ETH/BTC,$9053.77,Kucoin,"$3,436,350"
BTC/USD,$9073.70,xBTCe,"$3,432,220"
BTC/USD,$9073.70,Omicrex,"$3,432,220"
IGNIS/BTC,$9191.12,Bittrex,"$3,403,550"
HSR/BTC,$9612.18,TOPBTC,"$3,402,110"
BTM/BTC,$9151.11,EXX,"$3,396,890"
MIOTA/BTC,$9034.83,Bitfinex,"$3,387,500"
DGB/BTC,$9028.24,Bittrex,"$3,368,190"
HSR/BTC,$8960.46,Bit-Z,"$3,311,730"
BCH/BTC,$9036.19,Coinsuper,"$3,302,320"
DASH/BTC,$8966.15,Lbank,"$3,281,230"
WABI/BTC,$9169.42,Binance,"$3,278,810"
RCN/BTC,$9058.97,Binance,"$3,276,480"
BTC/USD,$9083.10,CEX.IO,"$3,250,960"
LTC/BTC,$9090.78,Coinhub,"$3,205,450"
ETH/BTC,$9086.76,WEX,"$3,184,660"
XRP/BTC,$9021.32,Upbit,"$3,181,530"
ETH/BTC,$8942.48,BtcTrade.im,"$3,154,180"
DOGE/BTC,$9021.07,Bittrex,"$3,143,770"
AMB/BTC,$9061.86,Binance,"$3,110,040"
AUTO/BTC,$9070.35,OKEx,"$3,097,630"
BCH/BTC,$9034.42,Kraken,"$3,080,230"
LTC/BTC,$9065.14,RightBTC,"$3,065,960"
LTC/BTC,$9054.02,WEX,"$3,064,630"
PPT/BTC,$9116.57,Binance,"$3,053,500"
NOAH/BTC,$9067.96,HitBTC,"$3,039,850"
ETH/BTC,$9158.47,OEX,"$3,038,980"
STEEM/BTC,$9101.37,Binance,"$3,030,940"
ETH/BTC,$9089.06,Hotbit,"$3,020,360"
BTC/CNY,$9266.79,Octaex,"$3,014,020"
QBT/BTC,$8836.43,CoinEgg,"$3,009,450"
BANCA/BTC,$9060.31,HitBTC,"$2,973,330"
DIG/BTC,$9046.61,Livecoin,"$2,904,450"
ETH/BTC,$9066.33,Coinsuper,"$2,899,080"
DASH/BTC,$9075.81,Bit-Z,"$2,892,630"
XPM/BTC,$9198.40,Poloniex,"$2,880,250"
CND/BTC,$9092.12,Binance,"$2,874,940"
XLM/BTC,$9097.62,Kraken,"$2,822,600"
DADI/BTC,$9019.28,OKEx,"$2,814,710"
BTC/BRL,$9322.84,Bitinka,"$2,804,970"
BTS/BTC,$9056.16,Poloniex,"$2,785,570"
OST/BTC,$9069.08,Binance,"$2,768,710"
SNM/BTC,$9074.27,Binance,"$2,750,440"
TNB/BTC,$9017.40,OKEx,"$2,747,300"
NEO/BTC,$9095.54,Bittrex,"$2,726,140"
WTC/BTC,$8979.48,Binance,"$2,716,050"
ETH/BTC,$9072.92,CoinBene,"$2,713,590"
BTC/IDR,$9030.05,Indodax,"$2,697,900"
XRP/BTC,$9035.90,HitBTC,"$2,696,290"
APPC/BTC,$9053.01,Binance,"$2,686,160"
RPX/BTC,$9152.25,Binance,"$2,676,550"
BTC/ETH,$8948.38,OTCBTC,"$2,658,950"
TOPC/BTC,$9095.45,OKEx,"$2,657,720"
PURA/BTC,$9094.23,Kucoin,"$2,649,060"
SLS/BTC,$9003.51,Upbit,"$2,630,780"
DNT/BTC,$9045.04,Binance,"$2,619,140"
SC/BTC,$9169.74,Upbit,"$2,617,240"
MCO/BTC,$9008.81,Bit-Z,"$2,611,400"
MOD/BTC,$9051.12,Binance,"$2,581,700"
FUEL/BTC,$9069.22,Binance,"$2,576,260"
TRX/BTC,$9071.10,HitBTC,"$2,532,310"
XMR/BTC,$9101.35,Poloniex,"$2,512,120"
BCC/BTC,$9076.15,YoBit,"$2,504,160"
SRN/BTC,$9115.01,Huobi,"$2,485,780"
BTC/PEN,$8884.34,Bitinka,"$2,474,680"
ITC/BTC,$9108.08,OKEx,"$2,472,570"
HMQ/BTC,$9179.07,Upbit,"$2,431,310"
CHAT/BTC,$9064.39,Binance,"$2,416,840"
LRC/BTC,$9043.98,OKEx,"$2,409,710"
BTC/ZAR,$9338.82,Luno,"$2,403,820"
BTC/RUR,$8619.47,WEX,"$2,403,710"
VIB/BTC,$9026.72,Binance,"$2,392,820"
REN/BTC,$9070.92,OKEx,"$2,389,290"
DASH/BTC,$9085.23,Bitfinex,"$2,368,200"
EOS/BTC,$9093.44,IDAX,"$2,367,670"
DRG/BTC,$9141.60,Qryptos,"$2,360,860"
LTC/BTC,$9068.50,Bittrex,"$2,356,240"
TOPC/BTC,$9050.93,Huobi,"$2,354,600"
QSP/BTC,$9061.10,Binance,"$2,334,850"
CMT/BTC,$9059.02,OKEx,"$2,334,570"
DSH/BTC,$9076.33,WEX,"$2,328,940"
INS/BTC,$9061.81,Binance,"$2,312,240"
LRC/BTC,$9077.03,Binance,"$2,300,960"
RUFF/BTC,$9068.27,Huobi,"$2,283,290"
SYS/BTC,$9218.82,Binance,"$2,268,580"
BTC/USDT,$9095.13,CoinEx,"$2,263,480"
BTC/USD,$9087.50,BitMEX,**
BTC/JPY,$9081.98,Quoine,"**

$84,372,200"
BTC/JPY,$9085.12,Fisco,"**

$81,427,500"
BTC/JPY,$9084.53,Zaif,"**

$81,418,600"
BTC/USD,$9266.00,Neraex,"**

$20,379,800"
BTC/USDT,$9073.07,ZB.COM,"**

$6,930,810"
B2X/BTC,"***

$0.300884",Negocie Coins,"***

$44,583,100"
