coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$175,891","BITUSD
bitUSD",77,$1.09,"161,978
*","$3,485",2015
"$166,178","ZEIT
Zeitcoin",78,$0.000005,"31,163,713,901",Low Vol,2015
"$164,373","XC
XCurrency",79,$0.029381,"5,594,506
*",Low Vol,2015
"$156,590","HZ
Horizon",80,$0.000230,"680,865,886
*","$3,683",2015
"$154,521","NET
NetCoin",81,$0.000388,"398,052,207",Low Vol,2015
"$153,003","SWIFT
Bitswift",82,$0.038014,"4,024,904
*",Low Vol,2015
"$150,237","POT
PotCoin",83,$0.000790,"190,230,975","$1,094",2015
"$141,211","BILS
BilShares",84,$0.000141,"1,000,000,000
*","$2,439",2015
"$135,845","SLR
SolarCoin",85,$0.004038,"33,641,300
*",Low Vol,2015
"$135,502","MRKT
FreeMarket",86,$0.188198,"720,000
*",Low Vol,2015
"$131,767","QORA
Qora",87,$0.000013,"10,000,000,000
*",Low Vol,2015
"$130,659","TRON
Positron",88,$0.092758,"1,408,608
*","$16,902",2015
"$125,120","XVC
Vcash",89,$0.017278,"7,241,554","$2,120",2015
"$122,935","URO
Uro",90,$0.117345,"1,047,632",Low Vol,2015
"$121,573","NODE
Node",91,$0.000122,"1,000,000,000
*",Low Vol,2015
"$118,146","DMD
Diamond",92,$0.114551,"1,031,377",Low Vol,2015
"$117,296","BITCNY
bitCNY",93,$0.160837,"729,287
*","$3,552",2015
"$113,474","HYPER
Hyper",94,$0.027786,"4,083,920",Low Vol,2015
"$112,759","XVG
Verge",95,$0.000014,"8,059,627,604",Low Vol,2015
"$109,336","VTC
Vertcoin",96,$0.007680,"14,235,800","$1,232",2015
"$106,665","MMNXT
MMNXT",97,$0.010548,"10,112,486
*",Low Vol,2015
"$104,813","ZRC
ZiftrCOIN",98,$0.019677,"5,326,802",Low Vol,2015
"$104,448","ZET
Zetacoin",99,$0.000644,"162,067,488",Low Vol,2015
"$103,272","AUR
Auroracoin",100,$0.039557,"2,610,714","$2,709",2015
"$102,785","SMLY
SmileyCoin",101,$0.000004,"24,811,780,694",Low Vol,2015
"$96,923","COVAL
Circuits of V...",102,$0.000242,"400,000,000
*",Low Vol,2015
"$95,009","IOC
I/O Coin",103,$0.005879,"16,160,513
*",Low Vol,2015
"$90,776","VASH
VPNCoin",104,$0.000227,"400,186,428
*","$1,050",2015
"$89,288","GLD
GoldCoin",105,$0.002588,"34,501,159",Low Vol,2015
"$87,898","UTC
UltraCoin",106,$0.002977,"29,524,936","$1,394",2015
"$87,245","APC
Applecoin",107,$0.003915,"22,286,048
*","$1,559",2015
"$86,720","VIA
Viacoin",108,$0.005787,"14,985,235",Low Vol,2015
"$86,135","UBQ
Ubiq",109,$0.025525,"3,374,531","$2,424",2015
"$84,382","DGC
Digitalcoin",110,$0.003815,"22,115,990",Low Vol,2015
"$83,454","ANC
Anoncoin",111,$0.049895,"1,672,580","$1,395",2015
"$79,716","DVC
Devcoin",112,$0.000009,"9,133,764,444",$715,2015
"$77,210","MZC
MAZA",113,$0.000110,"700,413,419",Low Vol,2015
"$74,784","FLO
FlorinCoin",114,$0.000889,"84,164,850",Low Vol,2015
"$74,168","MGW
MGW",115,$0.074168,"1,000,000
*",Low Vol,2015
"$72,209","MARYJ
MaryJane",116,$0.004705,"15,348,332
*",Low Vol,2015
"$71,054","FIBRE
Fibre",117,$0.112705,"630,448
*","$1,218",2015
"$70,224","HBN
HoboNickels",118,$0.006623,"10,602,619",Low Vol,2015
"$69,520","CACH
CacheCoin",119,$0.030137,"2,306,791","$1,798",2015
"$66,046","XST
Stealthcoin",120,$0.003027,"21,818,054",Low Vol,2015
"$65,896","AC
AsiaCoin",121,$0.000251,"262,022,401",Low Vol,2015
"$64,909","BBR
Boolberry",122,$0.017066,"3,803,503",Low Vol,2015
"$61,020","MOON
Mooncoin",123,$3e-07,"202,141,329,251",Low Vol,2015
"$60,892","BOST
BoostCoin",124,$0.005174,"11,768,312",Low Vol,2015
"$60,187","HTML5
HTML5COIN",125,$0.000001,"40,659,020,000",Low Vol,2015
"$58,987","XAI
Sapience AIFX",126,$0.087420,"674,757
*",$509,2015
"$58,351","OPAL
Opal",127,$0.003883,"15,028,788
*",Low Vol,2015
"$53,051","RBY
Rubycoin",128,$0.002403,"22,078,467
*","$1,179",2015
"$52,808","SPR
SpreadCoin",129,$0.026596,"1,985,545","$2,250",2015
"$52,634","NAUT
NautilusCoin",130,$0.009900,"5,316,432
*",Low Vol,2015
"$52,572","BLITZ
Blitzcash",131,$0.014097,"3,729,346
*",Low Vol,2015
"$51,541","USDE
USDe",132,$0.000047,"1,097,750,322",Low Vol,2015
"$51,141","TEK
TEKcoin",133,$0.007299,"7,006,333",Low Vol,2015
"$50,756","BITS
Bitstar",134,$0.002841,"17,865,905",Low Vol,2015
"$50,480","FRC
Freicoin",135,$0.001098,"45,962,594",Low Vol,2015
"$48,230","FLT
FlutterCoin",136,$0.000189,"254,998,365",Low Vol,2015
"$46,654","XWC
WhiteCoin",137,$0.000153,"305,109,974
*",Low Vol,2015
"$46,551","HYP
HyperStake",138,$0.000260,"179,115,719
*",Low Vol,2015
"$45,628","BLU
BlueCoin",139,$0.000081,"562,141,050",Low Vol,2015
"$44,062","NAS
Nas",140,$0.000004,"10,000,000,000
*",Low Vol,2015
"$44,000","EAC
EarthCoin",141,$0.000006,"7,317,011,670",Low Vol,2015
"$43,698","FLAP
FlappyCoin",142,$6.3e-07,"69,864,678,452",Low Vol,2015
"$42,017","UNB
UnbreakableCoin",143,$0.018797,"2,235,282","$1,998",2015
"$41,609","XMY
Myriad",144,$0.000042,"997,666,500",Low Vol,2015
"$39,649","UNC
UnionCoin",145,$0.004727,"8,388,608",Low Vol,2015
"$39,538","NOBL
NobleCoin",146,$0.000018,"2,229,162,603",Low Vol,2015
"$39,537","AM
AeroMe",147,$0.003282,"12,048,230
*",Low Vol,2015
"$38,657","KARMA
Karmacoin",148,$5.8e-07,"66,154,442,190",Low Vol,2015
"$36,811","TIX
Tickets",149,$5.5e-07,"66,876,281,414",Low Vol,2015
"$36,423","RIN
Ringo",150,$0.000372,"97,923,126",Low Vol,2015
"$36,228","CBX
Bullion",151,$0.037761,"959,394",Low Vol,2015
"$33,885","C2
Coin2.1",152,$0.000339,"99,976,323

*",Low Vol,2015
"$33,429","XMG
Magi",153,$0.014956,"2,235,073",Low Vol,2015
"$32,733","ZCC
ZcCoin",154,$0.001886,"17,352,849",Low Vol,2015
"$31,728","PINK
PinkCoin",155,$0.000087,"364,520,117",Low Vol,2015
"$30,997","LTBC
LTBcoin",156,$0.000105,"293,835,416
*",Low Vol,2015
"$30,971","CCN
CannaCoin",157,$0.006678,"4,637,829",Low Vol,2015
