coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$5,796,072,588","BTC
Bitcoin",1,$456.46,"12,697,974","$8,929,749",2014
"$294,265,167","LTC
Litecoin",2,$10.57,"27,831,404","$2,399,488",2014
"$46,636,765","PPC
Peercoin",3,$2.18,"21,351,649","$98,329",2014
"$41,479,931","XRP
Ripple",4,$0.005306,"7,817,889,792
*","$111,046",2014
"$34,902,156","DOGE
Dogecoin",5,$0.000469,"74,479,531,369","$810,055",2014
"$24,186,944","OMNI
Omni",6,$39.04,"619,478
*","$9,726",2014
"$21,091,940","NXT
Nxt",7,$0.021092,"999,997,120
*","$34,295",2014
"$18,956,190","NMC
Namecoin",8,$2.20,"8,614,778","$94,038",2014
"$11,731,587","BLK
BlackCoin",9,$0.157437,"74,516,085
*","$869,602",2014
"$7,230,012","DASH
Dash",10,$1.74,"4,154,671","$1,128,130",2014
"$6,280,818","PTS
BitShares PTS",11,$3.85,"1,632,178
*","$11,652",2014
"$5,018,386","AUR
Auroracoin",12,$0.467176,"10,741,970","$6,013",2014
"$4,567,662","QRK
Quark",13,$0.018433,"247,791,564","$9,952",2014
"$4,550,556","XCP
Counterparty",14,$1.72,"2,649,303
*","$15,294",2014
"$4,477,554","XPM
Primecoin",15,$0.826911,"5,414,797","$20,675",2014
"$4,187,512","ZET
Zetacoin",16,$0.026111,"160,371,677","$59,970",2014
"$3,718,458","FTC
Feathercoin",17,$0.090446,"41,112,324","$25,578",2014
"$3,500,104","VTC
Vertcoin",18,$0.915952,"3,821,274","$31,603",2014
"$2,647,676","NVC
Novacoin",19,$3.40,"779,042","$16,136",2014
"$2,534,644","MTC
Marinecoin",20,$0.349123,"7,260,032",Low Vol,2014
"$2,127,470","IFC
Infinitecoin",21,$0.000024,"90,511,130,624","$7,373",2014
"$1,848,431","BTL
Bitleu",22,$0.000737,"2,508,381,952",Low Vol,2014
"$1,784,168","MEC
Megacoin",23,$0.076926,"23,193,388","$19,351",2014
"$1,755,177","MAX
MaxCoin",24,$0.083416,"21,041,376","$38,030",2014
"$1,673,313","WDC
WorldCoin",25,$0.031297,"53,466,105","$27,022",2014
"$1,512,415","YBC
YbCoin",26,$1.09,"1,385,958
*","$24,306",2014
"$1,336,477","IXC
Ixcoin",27,$0.069344,"19,273,204
*",$640,2014
"$1,180,997","XWC
WhiteCoin",28,$0.003907,"302,297,569
*","$297,326",2014
"$1,175,666","PRT
Particle",29,$0.001680,"699,754,517","$45,176",2014
"$1,117,109","FLT
FlutterCoin",30,$0.006178,"180,820,265","$170,059",2014
"$1,017,982","QBC
Quebecoin",31,$0.048206,"21,117,277",Low Vol,2014
"$954,681","MINT
Mintcoin",32,$0.000050,"18,921,295,872
*","$18,664",2014
"$795,828","DVC
Devcoin",33,$0.000118,"6,765,853,501",$837,2014
"$755,883","HBN
HoboNickels",34,$0.186309,"4,057,156","$6,677",2014
"$695,625","UTC
UltraCoin",35,$0.050086,"13,888,727","$23,436",2014
"$637,279","ANC
Anoncoin",36,$0.726058,"877,725","$3,930",2014
"$636,724","BIL
Billioncoin",37,$0.000088,"7,197,782,882","$140,339",2014
"$582,799","TRC
Terracoin",38,$0.093688,"6,220,659","$2,289",2014
"$559,351","CINNI
Cinni",39,$0.037287,"15,001,133
*","$85,104",2014
"$490,451","CLR
Copperlark",40,$0.064596,"7,592,575",Low Vol,2014
"$473,205","FRC
Freicoin",41,$0.010864,"43,555,669",$589,2014
"$472,954","POT
PotCoin",42,$0.005508,"85,867,529","$12,185",2014
"$469,566","MUN
Muniti",43,$0.018900,"24,844,120",Low Vol,2014
"$464,899","ZEIT
Zeitcoin",44,$0.000017,"27,150,028,800","$6,674",2014
"$444,650","COMM
CommunityCoin",45,$0.000437,"1,017,965,579
*","$14,924",2014
"$427,288","APC
Applecoin",46,$0.025651,"16,657,888
*","$26,068",2014
"$422,447","TIX
Tickets",47,$0.000006,"66,876,280,832","$1,149",2014
"$400,356","NET
NetCoin",48,$0.001557,"257,113,229","$3,251",2014
"$383,912","UNO
Unobtanium",49,$2.20,"174,280",$687,2014
"$374,778","GLD
GoldCoin",50,$0.012194,"30,733,625","$1,517",2014
"$372,441","USDE
USDe",51,$0.000588,"633,705,549","$2,106",2014
"$368,344","CBX
Bullion",52,$0.387986,"949,375",$527,2014
"$365,086","DGC
Digitalcoin",53,$0.024618,"14,829,805","$6,212",2014
"$360,416","AC
AsiaCoin",54,$0.003148,"114,487,050","$52,574",2014
"$350,852","NAS
Nas",55,$0.000035,"10,000,000,000
*","$3,044",2014
"$349,725","GRCX
Gridcoin Classic",56,$0.019460,"17,971,244","$3,875",2014
"$339,451","XMY
Myriad",57,$0.001869,"181,635,159","$13,751",2014
"$293,633","RDD
ReddCoin",58,$0.000014,"20,945,307,515
*","$2,276",2014
