coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$150,826,854,110","BTC
Bitcoin",1,$8876.31,"16,992,075","$6,966,437,035",2018
"$60,305,777,209","ETH
Ethereum",2,$609.33,"98,971,421","$2,509,335,495",2018
"$34,083,075,400","XRP
Ripple",3,$0.871182,"39,122,794,968
*","$1,345,215,120",2018
"$19,643,553,237","BCH
Bitcoin Cash",4,$1149.62,"17,087,020","$1,015,829,720",2018
"$9,206,695,255","EOS
EOS",5,$11.38,"808,905,871
*","$1,079,079,052",2018
"$8,302,548,574","LTC
Litecoin",6,$147.75,"56,193,912","$435,207,656",2018
"$7,433,051,611","ADA
Cardano",7,$0.286691,"25,927,070,538
*","$227,023,772",2018
"$6,899,147,856","XLM
Stellar",8,$0.371528,"18,569,641,066
*","$92,759,836",2018
"$5,483,114,125","MIOTA
IOTA",9,$1.97,"2,779,530,283
*","$77,542,122",2018
"$4,840,821,604","NEO
NEO",10,$74.47,"65,000,000
*","$146,509,892",2018
"$4,114,165,722","XMR
Monero",11,$257.90,"15,952,810","$73,662,252",2018
"$3,604,198,339","DASH
Dash",12,$449.21,"8,023,472","$92,200,161",2018
"$3,478,825,138","TRX
TRON",13,$0.052911,"65,748,111,645
*","$497,495,998",2018
"$3,466,714,497","XEM
NEM",14,$0.385190,"8,999,999,999
*","$48,161,160",2018
"$2,286,437,834","USDT
Tether",15,$0.999693,"2,287,140,814
*","$3,423,930,023",2018
"$2,011,284,485","VEN
VeChain",16,$3.83,"525,773,061
*","$84,713,455",2018
"$1,900,214,640","ETC
Ethereum Classic",17,$18.76,"101,302,066","$185,036,471",2018
"$1,694,592,148","QTUM
Qtum",18,$19.14,"88,540,766
*","$180,827,913",2018
"$1,571,009,029","OMG
OmiseGO",19,$15.40,"102,042,552
*","$74,258,390",2018
"$1,487,490,079","BNB
Binance Coin",20,$13.04,"114,041,290
*","$131,426,066",2018
"$1,324,810,636","ICX
ICON",21,$3.42,"387,231,358
*","$47,581,169",2018
"$1,216,584,876","LSK
Lisk",22,$11.57,"105,108,179
*","$20,280,453",2018
"$1,117,067,000","BTG
Bitcoin Gold",23,$65.87,"16,958,153","$39,620,512",2018
"$1,018,346,656","XVG
Verge",24,$0.068319,"14,905,686,912","$69,995,760",2018
"$1,015,464,516","ZEC
Zcash",25,$270.46,"3,754,553","$61,467,039",2018
"$985,736,091","PPT
Populous",26,$26.64,"37,004,027
*","$7,921,181",2018
"$969,414,613","BTCP
Bitcoin Private",27,$47.51,"20,403,830","$1,719,209",2018
"$965,078,455","NANO
Nano",28,$7.24,"133,248,289
*","$15,559,946",2018
"$880,520,438","BTM
Bytom",29,$0.892118,"987,000,000
*","$88,374,470",2018
"$876,716,361","BCN
Bytecoin",30,$0.004769,"183,851,438,435","$5,204,728",2018
"$772,129,827","STEEM
Steem",31,$3.04,"254,317,150
*","$9,352,829",2018
"$687,851,844","BTS
BitShares",32,$0.262747,"2,617,920,000
*","$45,329,242",2018
"$672,227,894","WAN
Wanchain",33,$6.33,"106,152,493
*","$12,235,084",2018
"$671,204,313","BCD
Bitcoin Diamond",34,$4.38,"153,231,477","$15,548,158",2018
"$661,835,902","ZIL
Zilliqa",35,$0.090861,"7,284,013,186
*","$107,076,704",2018
"$640,409,720","SC
Siacoin",36,$0.018865,"33,946,349,351","$23,144,702",2018
"$622,477,714","DOGE
Dogecoin",37,$0.005455,"114,120,728,288","$21,758,116",2018
"$585,692,038","DGD
DigixDAO",38,$292.85,"2,000,000
*","$32,312,920",2018
"$565,086,676","STRAT
Stratis",39,$5.72,"98,826,264
*","$11,300,826",2018
"$562,300,141","MKR
Maker",40,$909.54,"618,228
*","$157,118",2018
"$529,950,949","RHOC
RChain",41,$1.47,"359,777,456
*","$1,325,212",2018
"$522,553,534","SNT
Status",42,$0.150571,"3,470,483,788
*","$78,159,573",2018
"$512,341,117","WAVES
Waves",43,$5.12,"100,000,000
*","$26,675,236",2018
"$507,282,944","AION
Aion",44,$3.84,"131,973,439
*","$28,701,013",2018
"$492,492,598","ZRX
0x",45,$0.938508,"524,761,119
*","$12,308,920",2018
"$472,526,348","AE
Aeternity",46,$2.03,"233,020,472
*","$14,644,610",2018
"$469,686,224","DCR
Decred",47,$65.73,"7,145,743","$14,474,050",2018
"$454,224,398","ONT
Ontology",48,$4.04,"112,521,513
*","$46,709,139",2018
"$428,478,938","GNT
Golem",49,$0.513602,"834,262,000
*","$50,629,023",2018
"$426,046,947","LRC
Loopring",50,$0.744741,"572,074,043
*","$25,465,790",2018
"$424,658,860","REP
Augur",51,$38.61,"11,000,000
*","$3,223,364",2018
"$406,847,877","BAT
Basic Attenti...",52,$0.406848,"1,000,000,000
*","$8,718,462",2018
"$403,795,213","KMD
Komodo",53,$3.88,"104,053,262","$4,139,189",2018
"$385,473,228","WTC
Waltonchain",54,$12.38,"31,144,099
*","$3,344,518",2018
"$369,914,602","ARDR
Ardor",55,$0.370285,"998,999,495
*","$4,908,464",2018
"$351,841,739","IOST
IOStoken",56,$0.041886,"8,400,000,000
*","$66,334,512",2018
"$339,740,538","DGB
DigiByte",57,$0.033476,"10,148,924,950","$4,979,770",2018
"$331,334,609","HSR
Hshare",58,$7.72,"42,892,665","$42,817,088",2018
"$316,051,005","ARK
Ark",59,$3.10,"102,059,050
*","$2,905,082",2018
"$304,407,101","PIVX
PIVX",60,$5.43,"56,044,481
*","$3,602,482",2018
"$294,141,335","MITH
Mithril",61,$0.965556,"304,634,084
*","$184,994,956",2018
"$292,117,751","DRGN
Dragonchain",62,$1.23,"238,421,940
*","$2,581,524",2018
"$291,684,366","KCS
KuCoin Shares",63,$3.85,"75,730,576
*","$980,162",2018
"$286,151,844","DCN
Dentacoin",64,$0.000880,"325,226,613,094
*","$930,403",2018
"$277,414,474","CENNZ
Centrality",65,$0.409705,"677,108,621
*","$423,970",2018
"$272,387,889","CNX
Cryptonex",66,$6.02,"45,228,325","$1,576,468",2018
"$270,252,723","ELF
aelf",67,$1.08,"250,000,000
*","$56,330,886",2018
"$268,816,483","SUB
Substratum",68,$0.701832,"383,021,000

*","$9,222,592",2018
"$265,913,689","QASH
QASH",69,$0.759753,"350,000,000
*","$4,740,394",2018
