coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$21,485,886,958","BTC
Bitcoin",1,$1318.00,"16,301,846","$369,247,414",2017
"$6,310,150,888","ETH
Ethereum",2,$69.21,"91,177,028","$130,621,410",2017
"$1,974,110,384","XRP
Ripple",3,$0.052108,"37,884,902,021
*","$89,875,468",2017
"$806,203,532","LTC
Litecoin",4,$15.85,"50,868,338","$48,897,697",2017
"$686,581,568","DASH
Dash",5,$94.55,"7,261,251","$35,945,908",2017
"$504,718,851","ETC
Ethereum Classic",6,$5.54,"91,161,793","$41,450,131",2017
"$440,658,053","XEM
NEM",7,$0.048962,"8,999,999,999
*","$4,419,689",2017
"$341,369,135","XMR
Monero",8,$23.74,"14,379,964","$11,492,753",2017
"$182,972,128","REP
Augur",9,$16.63,"11,000,000
*","$3,979,651",2017
"$145,606,638","GNT
Golem",10,$0.177569,"820,000,000
*","$7,790,567",2017
"$120,646,349","MAID
MaidSafeCoin",11,$0.266591,"452,552,412

*","$1,625,477",2017
"$114,608,391","ZEC
Zcash",12,$95.76,"1,196,877","$11,277,746",2017
"$96,288,508","PIVX
PIVX",13,$1.81,"53,186,459
*","$1,513,769",2017
"$82,206,530","DOGE
Dogecoin",14,$0.000753,"109,172,414,646","$5,298,606",2017
"$76,278,345","DCR
Decred",15,$15.94,"4,784,683","$985,613",2017
"$72,769,761","STRAT
Stratis",16,$0.739788,"98,365,698
*","$1,488,251",2017
"$70,879,395","FCT
Factom",17,$8.10,"8,753,219
*","$2,701,406",2017
"$67,960,957","STEEM
Steem",18,$0.288848,"235,283,052
*","$1,383,265",2017
"$59,788,334","WAVES
Waves",19,$0.597883,"100,000,000
*","$276,623",2017
"$59,032,387","USDT
Tether",20,$0.936820,"63,013,598
*","$24,567,239",2017
"$58,881,507","LSK
Lisk",21,$0.553675,"106,346,697
*","$1,849,992",2017
"$58,672,845","DGD
DigixDAO",22,$29.34,"2,000,000
*","$383,150",2017
"$55,989,989","GAME
GameCredits",23,$0.901071,"62,137,150","$804,922",2017
