coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$7,012,886,283","BTC
Bitcoin",1,$453.40,"15,467,311","$50,339,824",2016
"$656,459,658","ETH
Ethereum",2,$8.27,"79,372,107","$15,081,693",2016
"$255,130,284","XRP
Ripple",3,$0.007317,"34,868,679,462
*","$336,976",2016
"$154,826,672","LTC
Litecoin",4,$3.40,"45,487,516","$1,045,763",2016
"$41,329,082","DASH
Dash",5,$6.46,"6,396,717","$246,363",2016
"$33,338,998","MAID
MaidSafeCoin",6,$0.073669,"452,552,412
*","$319,210",2016
"$23,272,875","DOGE
Dogecoin",7,$0.000224,"104,043,702,879","$109,366",2016
"$14,166,411","XEM
NEM",8,$0.001574,"8,999,999,999
*","$18,471",2016
"$11,880,427","XMR
Monero",9,$1.02,"11,684,696","$122,455",2016
"$11,832,875","AMP
Synereo",10,$0.064031,"184,800,000
*","$38,633",2016
"$11,285,408","FCT
Factom",11,$1.29,"8,753,219
*","$80,000",2016
"$11,225,475","BTS
BitShares",12,$0.004397,"2,553,096,042
*","$169,570",2016
"$10,687,751","XLM
Stellar",13,$0.001948,"5,485,679,598
*","$16,434",2016
"$9,653,536","PPC
Peercoin",14,$0.417487,"23,122,936","$14,273",2016
"$9,421,593","FTC
Feathercoin",15,$0.063485,"148,407,000","$134,919",2016
"$8,257,655","EMC
Emercoin",16,$0.219808,"37,567,549","$12,406",2016
"$7,564,077","TIPS
FedoraCoin",17,$0.000018,"419,989,699,253","$4,461",2016
"$7,463,771","RVR
RevolutionVR",18,$0.236945,"31,500,000
*","$60,072",2016
"$7,122,818","NXT
Nxt",19,$0.007123,"999,997,096
*","$14,110",2016
"$6,354,973","STEEM
Steem",20,$0.617597,"10,289,842
*","$12,907",2016
"$6,230,898","BCN
Bytecoin",21,$0.000035,"179,922,109,160",$608,2016
"$6,017,493","NMC
Namecoin",22,$0.425491,"14,142,474","$7,746",2016
"$5,755,546","YBC
YbCoin",23,$1.91,"3,006,914
*","$99,490",2016
"$4,724,132","AGRS
Agoras Tokens",24,$0.112479,"42,000,000
*","$2,865",2016
"$4,221,006","SJCX
Storjcoin X",25,$0.085242,"49,518,143
*","$10,390",2016
"$3,564,840","XAUR
Xaurum",26,$493.85,"7,218

*","$2,067",2016
"$3,555,492","SYS
Syscoin",27,$0.008293,"428,751,485","$40,342",2016
"$3,497,033","VASH
VPNCoin",28,$0.008735,"400,339,746
*","$21,997",2016
"$3,460,958","XCP
Counterparty",29,$1.32,"2,627,490
*","$6,100",2016
"$3,335,431","RBY
Rubycoin",30,$0.145275,"22,959,475
*",Low Vol,2016
"$3,331,103","GRC
GridCoin",31,$0.008873,"375,425,617","$1,084",2016
"$2,859,007","AUR
Auroracoin",32,$0.356886,"8,010,980","$5,596",2016
"$2,839,483","BCY
Bitcrystals",33,$0.066925,"42,428,066
*","$1,306",2016
